date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:22:38	21284/21284	---M-Z	200	added ('OK')	font/ttf	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-10.ttf	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-10.ttf	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:38	47869/47869	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-10.svg	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-10.svg	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:38	23746/23746	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-elaboration-10.eot	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-elaboration-10.eot	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:39	23746/23746	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-elaboration-10.eot?	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-elaboration-10d41d.eot	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:39	5788/5788	---M--	200	added ('OK')	font/woff	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-elaboration-10.woff	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-elaboration-10.woff	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:39	23480/23480	---M-Z	200	added ('OK')	font/ttf	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-elaboration-10.ttf	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-elaboration-10.ttf	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:39	49409/49409	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-elaboration-10.svg	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-elaboration-10.svg	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:40	16110/16110	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-ecommerce-10.eot	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-ecommerce-10.eot	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:40	16110/16110	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-ecommerce-10.eot?	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-ecommerce-10d41d.eot	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:40	5704/5704	---M--	200	added ('OK')	font/woff	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-ecommerce-10.woff	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-ecommerce-10.woff	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:40	15892/15892	---M-Z	200	added ('OK')	font/ttf	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-ecommerce-10.ttf	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-ecommerce-10.ttf	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:41	37104/37104	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-ecommerce-10.svg	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-ecommerce-10.svg	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:41	6238/6238	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-music-10.eot	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-music-10.eot	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:41	6238/6238	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-music-10.eot?	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-music-10d41d.eot	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:41	3568/3568	---M--	200	added ('OK')	font/woff	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-music-10.woff	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-music-10.woff	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:41	6044/6044	---M-Z	200	added ('OK')	font/ttf	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-music-10.ttf	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-music-10.ttf	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:42	13847/13847	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-music-10.svg	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-music-10.svg	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:42	16776/16776	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-software-10.eot	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-software-10.eot	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:42	16776/16776	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-software-10.eot?	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-software-10d41d.eot	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:42	7892/7892	---M--	200	added ('OK')	font/woff	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-software-10.woff	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-software-10.woff	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
